Age,Job,Credit amount,Duration,Sex_male,Housing_own,Housing_rent,Saving accounts_moderate,Saving accounts_quite rich,Saving accounts_rich,Saving accounts_unknown,Checking account_moderate,Checking account_rich,Checking account_unknown,Purpose_car,Purpose_domestic appliances,Purpose_education,Purpose_furniture/equipment,Purpose_radio/TV,Purpose_repairs,Purpose_vacation/others
26,3,4530,30,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
41,2,2503,30,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
22,2,1567,12,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
35,2,3976,21,True,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False
22,2,2301,9,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False
36,2,1372,12,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
50,2,1559,24,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
49,2,428,6,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
28,1,2993,21,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
39,2,2212,20,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
24,1,1228,12,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
35,2,2397,24,True,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
51,1,2507,9,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False
33,2,2831,30,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
46,1,3594,15,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
26,2,763,12,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
50,3,7476,48,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
29,2,915,24,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
27,2,951,12,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False
23,1,1936,18,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
36,1,4241,24,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
30,3,12680,21,True,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False
25,2,975,15,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
62,2,1338,6,True,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False
27,2,2930,12,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
36,2,2181,30,True,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False
39,1,1037,12,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
24,2,2150,30,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
43,1,1533,18,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
24,2,2145,36,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
27,2,1221,6,True,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False
25,1,2631,15,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False
43,2,2197,24,True,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False
35,3,2670,24,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
27,2,8648,24,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
26,0,609,12,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
42,2,5493,36,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
25,2,5511,24,True,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
64,1,2384,24,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
30,2,639,12,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
65,0,3394,42,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
46,2,2348,36,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
30,2,707,12,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
45,2,1300,15,True,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False
32,2,2662,18,True,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False
35,2,976,12,True,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False
38,1,1308,15,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
33,3,1474,12,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
25,2,1262,12,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
38,2,2751,48,True,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False
27,1,937,24,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
35,3,3780,18,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
35,1,2684,24,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
46,2,727,10,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
40,1,1361,6,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
23,2,1236,9,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False
66,0,1480,12,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False
35,2,4151,24,True,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
25,2,1264,15,True,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False
27,2,7980,36,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False
26,2,5248,21,True,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False
32,3,629,18,True,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
30,2,2028,12,True,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False
28,2,1249,24,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
38,2,1533,24,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
40,3,4623,15,True,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False
37,1,3949,10,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
26,2,1382,24,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
60,2,1940,24,True,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False
28,2,1108,12,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
25,2,3972,24,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False
41,2,6361,18,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
20,2,3186,15,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False
46,2,697,12,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
36,2,700,6,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False
25,1,2210,10,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False
25,2,1835,21,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
22,2,2462,18,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
25,2,3213,18,True,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False
34,2,3965,42,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
35,2,1381,24,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
51,2,7511,18,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
26,2,3181,24,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
46,2,1845,15,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
58,1,1755,24,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
45,3,3527,12,True,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False
27,2,2132,10,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
24,2,1275,15,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False
54,3,3568,15,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
36,2,3905,11,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
24,2,4272,20,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
59,2,1364,9,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
51,2,2892,24,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
24,1,1747,24,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
31,3,1963,12,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
32,3,18424,48,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
42,2,6288,60,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
49,2,8386,30,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
31,3,8947,36,True,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False
23,1,841,12,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False
38,1,1495,12,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
63,3,13756,60,True,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False
29,2,1169,18,True,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False
25,2,3105,24,True,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False
66,1,790,9,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False
24,2,2030,9,True,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False
28,1,484,6,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
52,1,362,6,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False
36,2,2360,15,True,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False
